C,Name,Score,kernel,coef0,gamma,degree,max_depth,n_estimators
,RVC,96.67,rbf,,0.01,,,
10.0,SVC,96.0,rbf,,0.1,,,
1.0,SVC,92.67,rbf,,0.1,,,
,RVC,92.67,rbf,,0.1,,,
,RVC,92.67,rbf,,0.001,,,
,RVC,92.67,rbf,,0.0001,,,
1.0,SVC,88.67,poly,0.0,0.1,2.0,,
10.0,SVC,88.0,poly,0.25,0.1,3.0,,
10.0,SVC,88.0,poly,0.25,0.1,2.0,,
10.0,SVC,84.67,poly,0.0,0.1,4.0,,
